Weight,Height,Age,Gender,Activity level,Eating preference,BMI_Category
86,5.3,31,Female,Moderately Active,Vegetarian,Obese
86,5.3,31,Female,Moderately Active,Vegetarian,Obese
81,5.3,33,Female,Lightly Active,Vegetarian,Obese
64,5.2,29,Female,Sedentary,Eggetarian,Overweight
86,5.4,42,Female,Lightly Active,Eggetarian,Obese
102,5.6,31,Female,Lightly Active,Non Vegetarian,Obese
68,5.4,41,Female,Lightly Active,Vegetarian,Overweight
61.3,4.9,24,Female,Lightly Active,Non Vegetarian,Overweight
99.8,5.3,27,Female,Sedentary,Eggetarian,Obese
68,5.1,28,Female,Sedentary,Vegetarian,Overweight
105,5.8,40,Male,Moderately Active,Non Vegetarian,Obese
105,5.8,40,Male,Moderately Active,Non Vegetarian,Obese
84,5.4,40,Female,Sedentary,Non Vegetarian,Obese
85,5.4,37,Female,Sedentary,Non Vegetarian,Obese
73,5.2,42,Female,Moderately Active,Non Vegetarian,Overweight
65,4.9,28,Female,Moderately Active,Non Vegetarian,Overweight
64.6,5.3,37,Female,Lightly Active,Eggetarian,Normal
94,5.6,47,Male,Lightly Active,Vegetarian,Obese
78,5.4,39,Female,Lightly Active,Vegetarian,Overweight
90,5.5,33,Female,Lightly Active,Non Vegetarian,Obese
79,5.7,38,Female,Sedentary,Eggetarian,Overweight
86,5.6,28,Female,Very Active,Eggetarian,Overweight
85,5.4,33,Female,Sedentary,Non Vegetarian,Obese
92.5,5.5,26,Female,Sedentary,Eggetarian,Obese
92.5,5.5,26,Female,Sedentary,Eggetarian,Obese
78,5.1,40,Female,Lightly Active,Vegetarian,Obese
78,5.1,40,Female,Lightly Active,Vegetarian,Obese
78,5.1,40,Female,Moderately Active,Vegetarian,Obese
68,5.3,32,Female,Lightly Active,Eggetarian,Overweight
64,5.5,36,Female,Moderately Active,Vegetarian,Normal
100,5.5,38,Female,Sedentary,Non Vegetarian,Obese
83,5.5,33,Male,Lightly Active,Vegetarian,Overweight
85,5.3,34,Female,Lightly Active,Non Vegetarian,Obese
86,5.2,36,Female,Moderately Active,Non Vegetarian,Obese
68,5.3,30,Female,Sedentary,Vegetarian,Overweight
75,5.3,27,Female,Sedentary,Vegetarian,Overweight
80,5.2,30,Female,Sedentary,Non Vegetarian,Obese
62,5.2,27,Female,Sedentary,Vegetarian,Normal
95.6,5.7,26,Female,Sedentary,Non Vegetarian,Obese
70,5.2,45,Female,Sedentary,Non Vegetarian,Overweight
82,5.3,28,Female,Lightly Active,Non Vegetarian,Obese
86,5.5,49,Female,Moderately Active,Vegetarian,Obese
94,5,31,Female,Sedentary,Vegetarian,Obese
89,5.3,26,Female,Sedentary,Vegetarian,Obese
75,5.1,28,Female,Sedentary,Non Vegetarian,Obese
99,5.4,42,Female,Moderately Active,Non Vegetarian,Obese
72,5.3,50,Female,Lightly Active,Non Vegetarian,Overweight
99,5.4,29,Female,Sedentary,Eggetarian,Obese
73.5,5.3,34,Female,Sedentary,Vegetarian,Overweight
73.5,5.3,34,Female,Sedentary,Vegetarian,Overweight
73.5,5.3,34,Female,Sedentary,Vegetarian,Overweight
91,5.6,34,Female,Lightly Active,Vegetarian,Obese
89.5,5.4,30,Female,Sedentary,Non Vegetarian,Obese
80,5.4,26,Female,Lightly Active,Eggetarian,Overweight
78,5.5,31,Female,Lightly Active,Vegetarian,Overweight
118.5,5.7,25,Female,Sedentary,Non Vegetarian,Obese
92.5,5.45,38,Female,Lightly Active,Eggetarian,Obese
88,5,35,Female,Moderately Active,Non Vegetarian,Obese
83,5.6,42,Female,Moderately Active,Vegetarian,Overweight
118.5,5.5,26,Male,Sedentary,Eggetarian,Obese
82,5.4,35,Female,Moderately Active,Vegetarian,Obese
100,5.3,22,Female,Sedentary,Non Vegetarian,Obese
100,5.3,22,Female,Sedentary,Non Vegetarian,Obese
76,5.6,33,Female,Lightly Active,Non Vegetarian,Overweight
114,5.6,34,Female,Very Active,Non Vegetarian,Obese
118,5.5,31,Female,Lightly Active,Non Vegetarian,Obese
80,5.2,28,Female,Moderately Active,Non Vegetarian,Obese
80,5.2,28,Female,Moderately Active,Non Vegetarian,Obese
83,5.3,30,Female,Lightly Active,Non Vegetarian,Obese
94,5.4,23,Female,Moderately Active,Vegetarian,Obese
78,5.2,31,Female,Lightly Active,Vegetarian,Obese
90,5.4,23,Female,Sedentary,Vegetarian,Obese
85.5,5,34,Female,Lightly Active,Vegetarian,Obese
70.5,5.1,28,Female,Sedentary,Non Vegetarian,Overweight
82,5.6,32,Female,Lightly Active,Non Vegetarian,Overweight
75.3,5.2,38,Female,Moderately Active,Non Vegetarian,Overweight
66,5.3,50.5,Female,Lightly Active,Vegetarian,Overweight
74.3,5.7,34,Male,Lightly Active,Non Vegetarian,Normal
76,5.2,35,Female,Sedentary,Vegetarian,Obese
68,5.3,35,Female,Lightly Active,Vegetarian,Overweight
80.3,5.5,43,Female,Sedentary,Eggetarian,Overweight
89.5,5,30,Female,Sedentary,Non Vegetarian,Obese
88,5.2,31,Female,Sedentary,Vegetarian,Obese
78,5,32,Female,Sedentary,Non Vegetarian,Obese
80,5.2,30,Female,Lightly Active,Non Vegetarian,Obese
95,5.1,38,Female,Lightly Active,Non Vegetarian,Obese
104.3,5.3,27,Female,Moderately Active,Eggetarian,Obese
80.8,5.4,20,Female,Lightly Active,Vegetarian,Overweight
71,5,43,Female,Sedentary,Non Vegetarian,Obese
76,5.3,26,Female,Sedentary,Vegetarian,Overweight
75.6,5.1,33,Female,Sedentary,Vegetarian,Obese
58,5.1,38,Female,Moderately Active,Non Vegetarian,Normal
110,5.7,31,Male,Sedentary,Non Vegetarian,Obese
85,5.4,46,Female,Moderately Active,Vegetarian,Obese
80,5.2,26,Female,Lightly Active,Non Vegetarian,Obese
74,5.5,37,Female,Sedentary,Eggetarian,Overweight
74,5.5,37,Female,Sedentary,Eggetarian,Overweight
104,5.5,22,Female,Sedentary,Non Vegetarian,Obese
76,5.3,27,Female,Lightly Active,Vegetarian,Overweight
65,5.1,33,Female,Lightly Active,Non Vegetarian,Overweight
65,5,37,Female,Sedentary,Non Vegetarian,Overweight
96,5.6,37,Male,Sedentary,Non Vegetarian,Obese
78,5.5,42,Female,Lightly Active,Non Vegetarian,Overweight
74.5,5.4,37,Female,Lightly Active,Non Vegetarian,Overweight
95,5.5,26,Female,Moderately Active,Non Vegetarian,Obese
60.5,4.75,41,Female,Moderately Active,Eggetarian,Obese
80.9,5.4,29,Female,Moderately Active,Vegetarian,Overweight
92,5.2,34,Female,Sedentary,Vegetarian,Obese
105,5.7,28,Female,Lightly Active,Non Vegetarian,Obese
96,5.6,33,Female,Lightly Active,Non Vegetarian,Obese
55,5.2,32,Female,Sedentary,Non Vegetarian,Normal
70,5.4,37,Female,Lightly Active,Non Vegetarian,Overweight
95.2,5.3,32,Female,Sedentary,Vegetarian,Obese
79,5.4,39,Female,Sedentary,Vegan ,Overweight
113,5.5,26,Female,Moderately Active,Non Vegetarian,Obese
93,5.3,32,Female,Moderately Active,Non Vegetarian,Obese
73.8,5.33,20,Female,Moderately Active,Vegetarian,Overweight
72,5.1,32,Male,Very Active,Non Vegetarian,Overweight
100,5.6,30,Male,Lightly Active,Vegetarian,Obese
89,5.3,37,Female,Sedentary,Non Vegetarian,Obese
78,5.3,29,Female,Sedentary,Vegetarian,Overweight
86,5.4,29,Female,Moderately Active,Non Vegetarian,Obese
67.8,5.5,25,Female,Lightly Active,Eggetarian,Normal
52.16,5.1,27,Female,Moderately Active,Non Vegetarian,Normal
95,5.6,25,Female,Sedentary,Non Vegetarian,Obese
67,5.37,34,Female,Sedentary,Non Vegetarian,Overweight
73.6,5.4,46,Female,Moderately Active,Vegetarian,Overweight
68,5.4,26,Female,Lightly Active,Non Vegetarian,Overweight
83.5,5.3,33,Female,Moderately Active,Eggetarian,Obese
64,5.3,44,Female,Sedentary,Non Vegetarian,Normal
92.15,5.4,31,Female,Sedentary,Non Vegetarian,Obese
87,5.3,43,Female,Lightly Active,Non Vegetarian,Obese
59,5,37,Female,Sedentary,Eggetarian,Overweight
59,5,37,Female,Sedentary,Eggetarian,Overweight
73.5,5.1,35,Female,Very Active,Non Vegetarian,Obese
117.6,5.5,47,Female,Lightly Active,Non Vegetarian,Obese
100,5.95,32,Male,Sedentary,Eggetarian,Overweight
81,5.2,36,Female,Lightly Active,Eggetarian,Obese
77.5,5,44,Female,Lightly Active,Eggetarian,Obese
77,5.3,31,Female,Moderately Active,Vegetarian,Overweight
77,5.4,38,Female,Moderately Active,Vegetarian,Overweight
104,5.8,38,Male,Sedentary,Non Vegetarian,Obese
72,5.3,22,Female,Sedentary,Non Vegetarian,Overweight
118.5,5.9,39,Male,Lightly Active,Eggetarian,Obese
84,5.4,37,Female,Lightly Active,Non Vegetarian,Obese
77,5.4,38,Female,Moderately Active,Vegetarian,Overweight
84,5.4,37,Female,Lightly Active,Non Vegetarian,Obese
89.8,5,30,Female,Sedentary,Non Vegetarian,Obese
79.9,4.75,36,Female,Lightly Active,Non Vegetarian,Obese
79.9,4.75,36,Female,Moderately Active,Non Vegetarian,Obese
75,5.3,41,Female,Lightly Active,Non Vegetarian,Overweight
72.6,5.7,23,Female,Sedentary,Non Vegetarian,Normal
70,5.4,33,Female,Moderately Active,Non Vegetarian,Overweight
83.5,5.3,33,Female,Moderately Active,Eggetarian,Obese
116,5.5,31,Female,Sedentary,Eggetarian,Obese
85.6,5.6,33,Female,Moderately Active,Eggetarian,Overweight
116,5.5,31,Female,Sedentary,Eggetarian,Obese
100,5.9,32,Female,Moderately Active,Vegetarian,Obese
82.7,5.5,40,Male,Lightly Active,Non Vegetarian,Overweight
90,5.4,39,Female,Sedentary,Eggetarian,Obese
88,5.3,40,Female,Moderately Active,Non Vegetarian,Obese
78.3,5.4,27,Female,Lightly Active,Vegetarian,Overweight
88,5.3,40,Female,Lightly Active,Non Vegetarian,Obese
96,5.95,30,Male,Sedentary,Non Vegetarian,Overweight
90.3,5.2,41,Female,Very Active,Eggetarian,Obese
91,5.6,30,Female,Sedentary,Non Vegetarian,Obese
72,5.6,45,Female,Lightly Active,Eggetarian,Normal
83,5.4,44,Female,Lightly Active,Vegetarian,Obese
85,5.2,26,Female,Lightly Active,Non Vegetarian,Obese
99,5.5,32,Female,Lightly Active,Eggetarian,Obese
90,5.2,33,Female,Sedentary,Vegetarian,Obese
90,5.2,33,Female,Sedentary,Vegetarian,Obese
54,5.5,26,Female,Sedentary,Non Vegetarian,Normal
113,5.8,33,Male,Lightly Active,Eggetarian,Obese
65.3,5,31,Female,Sedentary,Vegetarian,Overweight
67,5.2,41,Female,Moderately Active,Eggetarian,Overweight
103,5.4,36,Female,Lightly Active,Eggetarian,Obese
103,5.4,36,Female,Lightly Active,Eggetarian,Obese
118,5.9,32,Male,Sedentary,Vegetarian,Obese
63,5,34,Female,Sedentary,Vegetarian,Overweight
72.5,5.5,44,Female,Moderately Active,Non Vegetarian,Overweight
72,5.1,27,Female,Sedentary,Eggetarian,Overweight
76,5.7,35,Female,Lightly Active,Eggetarian,Overweight
70,4.75,26,Female,Lightly Active,Vegetarian,Obese
70,4.75,26,Female,Lightly Active,Vegetarian,Obese
90,5.3,28,Female,Lightly Active,Non Vegetarian,Obese
98.83,5.11,28,Male,Moderately Active,Vegetarian,Obese
71,5.5,41,Female,Lightly Active,Eggetarian,Overweight
65,5.4,28,Female,Sedentary,Eggetarian,Normal
62,5.2,35,Female,Sedentary,Non Vegetarian,Normal
62,5.2,33,Female,Moderately Active,Non Vegetarian,Normal
72,5.1,25,Female,Sedentary,Vegetarian,Overweight
96,5.5,35,Female,Lightly Active,Non Vegetarian,Obese
118.5,5.9,22,Male,Sedentary,Non Vegetarian,Obese
118.5,5.9,22,Male,Sedentary,Non Vegetarian,Obese
87.4,5.8,25,Female,Sedentary,Non Vegetarian,Overweight
71.5,5.3,38,Female,Moderately Active,Non Vegetarian,Overweight
82.55,5.4,34,Female,Lightly Active,Eggetarian,Obese
86,5.6,40,Female,Moderately Active,Non Vegetarian,Overweight
94,5.4,23,Female,Moderately Active,Vegetarian,Obese
90,5.4,37,Female,Moderately Active,Vegetarian,Obese
84,5.3,31,Female,Lightly Active,Eggetarian,Obese
87,5.4,35,Female,Sedentary,Eggetarian,Obese
84,5.3,31,Female,Lightly Active,Eggetarian,Obese
81.5,5.1,35,Female,Sedentary,Non Vegetarian,Obese
99,5.9,44,Male,Lightly Active,Eggetarian,Obese
72.5,5.5,36,Female,Sedentary,Non Vegetarian,Overweight
100,5.2,33,Female,Lightly Active,Vegetarian,Obese
70,5.4,40,Female,Lightly Active,Eggetarian,Overweight
61.5,4.9,30,Female,Very Active,Eggetarian,Overweight
108,5.1,32,Female,Lightly Active,Non Vegetarian,Obese
96,5.7,32,Female,Sedentary,Non Vegetarian,Obese
74.85,5.4,29,Female,Lightly Active,Vegetarian,Overweight
73,4.75,40,Female,Sedentary,Eggetarian,Obese
92,5,30,Female,Moderately Active,Non Vegetarian,Obese
68,5.5,41,Female,Lightly Active,Vegetarian,Normal
78,5.1,33,Female,Lightly Active,Vegetarian,Obese
90,5.8,34,Female,Very Active,Non Vegetarian,Overweight
76,5.5,35,Female,Lightly Active,Non Vegetarian,Overweight
70,5.5,26,Female,Sedentary,Non Vegetarian,Normal
80,5,50.5,Female,Moderately Active,Vegetarian,Obese
100,5.8,43,Female,Moderately Active,Vegetarian,Obese
58.8,5,26,Female,Lightly Active,Vegetarian,Overweight
78,5.1,35,Female,Sedentary,Vegetarian,Obese
88,5.3,32,Female,Sedentary,Eggetarian,Obese
95,5.7,28,Female,Lightly Active,Non Vegetarian,Obese
88,5.7,35,Female,Sedentary,Vegetarian,Overweight
90,5.4,39,Female,Moderately Active,Vegetarian,Obese
64,5.1,29,Female,Sedentary,Eggetarian,Overweight
64,5.1,29,Female,Sedentary,Eggetarian,Overweight
79.5,5.5,43,Female,Sedentary,Non Vegetarian,Overweight
69,5.8,37,Female,Lightly Active,Non Vegetarian,Normal
86.8,5.4,31,Female,Sedentary,Non Vegetarian,Obese
86.8,5.4,31,Female,Sedentary,Non Vegetarian,Obese
86.8,5.4,31,Female,Sedentary,Non Vegetarian,Obese
86.8,5.4,31,Female,Sedentary,Non Vegetarian,Obese
63,5.3,20,Female,Sedentary,Non Vegetarian,Normal
86,5.3,28,Female,Very Active,Non Vegetarian,Obese
61,4.75,38,Female,Lightly Active,Non Vegetarian,Obese
90,5.4,49,Female,Sedentary,Non Vegetarian,Obese
80,5.5,39,Female,Lightly Active,Vegetarian,Overweight
76.5,4.9,39,Female,Moderately Active,Vegetarian,Obese
60,5.7,26,Female,Sedentary,Non Vegetarian,Normal
77,5.4,30,Female,Lightly Active,Vegetarian,Overweight
84.5,5.4,34,Female,Moderately Active,Vegetarian,Obese
114,5.5,35,Female,Sedentary,Non Vegetarian,Obese
114,5.5,35,Female,Sedentary,Non Vegetarian,Obese
79,5.4,39,Female,Sedentary,Vegan,Overweight
77,5.3,28,Female,Moderately Active,Vegetarian,Overweight
78.9,5.5,28,Female,Sedentary,Vegetarian,Overweight
85.5,5.2,36,Female,Lightly Active,Vegetarian,Obese
93,5.2,30,Female,Lightly Active,Non Vegetarian,Obese
118.5,5.9,31,Female,Moderately Active,Vegetarian,Obese
62.5,5.25,31,Female,Lightly Active,Non Vegetarian,Normal
59,5.6,50,Female,Very Active,Vegetarian,Normal
75.5,5.5,35,Female,Moderately Active,Vegetarian,Overweight
78,5.7,35,Female,Sedentary,Non Vegetarian,Overweight
79.1,5.1,45,Female,Sedentary,Eggetarian,Obese
105,5.9,33,Female,Moderately Active,Non Vegetarian,Obese
99,5.8,38,Female,Lightly Active,Non Vegetarian,Obese
78,5.5,35,Female,Sedentary,Non Vegetarian,Overweight
72,5.5,30,Female,Moderately Active,Vegetarian,Overweight
87.7,5.1,43,Female,Moderately Active,Eggetarian,Obese
59.5,5.4,25,Female,Moderately Active,Vegetarian,Normal
89,5,33,Female,Sedentary,Occasionally Eats Prawns Or Chicken,Obese
80,5.7,29,Female,Lightly Active,Non Vegetarian,Overweight
80,5.7,29,Female,Lightly Active,Non Vegetarian,Overweight
75,5.2,29,Female,Lightly Active,Eggetarian,Overweight
78,5.3,28,Female,Sedentary,Non Vegetarian,Overweight
95,5.2,50.5,Female,Sedentary,Vegetarian,Obese
108,5.1,24,Female,Lightly Active,Vegetarian,Obese
87,5.05,40,Female,Sedentary,Non Vegetarian,Obese
78,5.5,27,Female,Sedentary,Non Vegetarian,Overweight
73,5.3,38,Female,Moderately Active,Vegetarian,Overweight
118.5,5.9,33,Female,Moderately Active,Non Vegetarian,Obese
118.5,5.9,33,Female,Moderately Active,Non Vegetarian,Obese
118.5,5.9,33,Female,Moderately Active,Non Vegetarian,Obese
83.9,4.9,31,Female,Lightly Active,Non Vegetarian,Obese
84,5.1,36,Female,Moderately Active,Eggetarian,Obese
75,5.3,35,Male,Sedentary,Non Vegetarian,Overweight
72,4.9,29,Female,Lightly Active,Vegetarian,Obese
75,5.4,42,Female,Lightly Active,Eggetarian,Overweight
96,5.4,30,Female,Lightly Active,Eggetarian,Obese
70.9,5.3,30,Female,Sedentary,Vegetarian,Overweight
110,5.7,37,Female,Moderately Active,Non Vegetarian,Obese
70,4.75,29,Female,Sedentary,Vegetarian,Obese
70,5.4,43,Female,Sedentary,Eggetarian,Overweight
63,5.1,29,Female,Sedentary,Eggetarian,Overweight
80,5.7,29,Female,Lightly Active,Eggetarian,Overweight
65,5.1,29,Female,Moderately Active,Vegetarian,Overweight
80,5.4,30,Female,Lightly Active,Non Vegetarian,Overweight
107,5.7,24,Female,Lightly Active,Vegetarian,Obese
72,5.5,36,Female,Sedentary,Eggetarian,Overweight
89.9,5.6,28,Female,Lightly Active,Non Vegetarian,Obese
78,5,30,Female,Sedentary,Vegetarian,Obese
97,5.1,30,Female,Sedentary,Non Vegetarian,Obese
70,5.6,25,Female,Sedentary,Vegetarian,Normal
88,5.5,25,Female,Lightly Active,Non Vegetarian,Obese
100,5.4,37,Female,Sedentary,Non Vegetarian,Obese
55,5,31,Female,Moderately Active,Vegetarian,Normal
81.8,5.8,35,Female,Sedentary,Non Vegetarian,Overweight
85,5.4,23,Female,Lightly Active,Non Vegetarian,Obese
85,5.4,23,Female,Lightly Active,Non Vegetarian,Obese
70,5,27,Female,Sedentary,Non Vegetarian,Obese
70,5,27,Female,Sedentary,Non Vegetarian,Obese
85,5.6,34,Female,Lightly Active,Vegetarian,Overweight
87.6,5.7,32,Female,Lightly Active,Non Vegetarian,Overweight
74,5.1,39,Female,Lightly Active,Eggetarian,Obese
94,5.3,34,Female,Lightly Active,Non Vegetarian,Obese
100,5.11,30,Male,Sedentary,Vegetarian,Obese
87.5,5.9,32,Female,Lightly Active,Non Vegetarian,Overweight
96,5.11,30,Male,Lightly Active,Vegetarian,Obese
83.7,5.2,27,Female,Lightly Active,Non Vegetarian,Obese
75,5.4,27,Female,Lightly Active,Non Vegetarian,Overweight
103,5.3,30,Female,Sedentary,Non Vegetarian,Obese
63,5.3,37,Female,Moderately Active,Non Vegetarian,Normal
79,5.6,35,Female,Sedentary,Eggetarian,Overweight
85.3,5.4,25,Female,Sedentary,Vegetarian,Obese
62,4.75,34,Female,Sedentary,Eggetarian,Obese
98,5.1,36,Male,Lightly Active,Non Vegetarian,Obese
88,5.4,35,Female,Moderately Active,Eggetarian,Obese
92,5.2,33,Female,Sedentary,Eggetarian,Obese
118.5,5.11,33,Male,Lightly Active,Vegetarian,Obese
60,4.75,38,Female,Lightly Active,Vegetarian,Obese
85,5.8,35,Male,Moderately Active,Non Vegetarian,Overweight
118.5,5.7,27,Male,Moderately Active,Vegetarian,Obese
80,5.7,33,Female,Sedentary,Eggetarian,Overweight
89,5.3,34,Female,Sedentary,Non Vegetarian,Obese
60,5.2,33,Female,Lightly Active,Eggetarian,Normal
91,5.4,35,Female,Sedentary,Non Vegetarian,Obese
93,5.1,38,Male,Sedentary,Eggetarian,Obese
75.7,5.1,33,Male,Sedentary,Non Vegetarian,Obese
75.7,5.5,33,Male,Sedentary,Non Vegetarian,Overweight
84,5.3,35,Female,Sedentary,Non Vegetarian,Obese
92,5.7,36,Male,Lightly Active,Non Vegetarian,Obese
76,5.3,36,Female,Lightly Active,Non Vegetarian,Overweight
84,5.3,35,Female,Sedentary,Non Vegetarian,Obese
106,5.1,41,Female,Sedentary,Vegetarian,Obese
64.2,5,24,Female,Moderately Active,Vegetarian,Overweight
64.2,5,24,Female,Moderately Active,Vegetarian,Overweight
93,5.5,25,Female,Lightly Active,Non Vegetarian,Obese
78,5.3,27,Female,Sedentary,Non Vegetarian,Overweight
78,5.3,27,Female,Sedentary,Non Vegetarian,Overweight
71.3,5.3,23,Female,Sedentary,Non Vegetarian,Overweight
71.3,5.3,23,Female,Sedentary,Non Vegetarian,Overweight
71.3,5.3,23,Female,Sedentary,Non Vegetarian,Overweight
74,5.2,38,Female,Lightly Active,Vegetarian,Overweight
79,5.3,32,Female,Lightly Active,Non Vegetarian,Obese
88,5.6,38,Female,Moderately Active,Non Vegetarian,Obese
93,5.3,27,Female,Sedentary,Non Vegetarian,Obese
95,5.3,37,Female,Moderately Active,Non Vegetarian,Obese
61,5.1,22,Female,Moderately Active,Non Vegetarian,Overweight
76,5.4,29,Female,Sedentary,Eggetarian,Overweight
67,5.4,33,Female,Lightly Active,Vegetarian,Normal
67,5.4,33,Female,Lightly Active,Vegetarian,Normal
91,5.7,24,Female,Lightly Active,Vegetarian,Obese
69,5.3,40,Female,Very Active,Non Vegetarian,Overweight
71,5,35,Female,Sedentary,Vegetarian,Obese
61.7,5.4,31,Female,Moderately Active,Non Vegetarian,Normal
86.6,5.5,24,Female,Moderately Active,Vegetarian,Obese
100,5.7,36,Female,Lightly Active,Vegetarian,Obese
67,5.2,32,Female,Sedentary,Non Vegetarian,Overweight
78,5.3,20,Female,Sedentary,Vegetarian,Overweight
79,5.4,40,Female,Lightly Active,Eggetarian,Overweight
106,5.3,38,Female,Sedentary,Vegetarian,Obese
75,5.3,43,Female,Lightly Active,Non Vegetarian,Overweight
85,5.2,39,Female,Sedentary,Eggetarian ,Obese
69,5.34,33,Female,Sedentary,Non Vegetarian,Overweight
82.5,5.7,26,Female,Lightly Active,Non Vegetarian,Overweight
85,5.05,30,Female,Lightly Active,Non Vegetarian,Obese
68,5.4,26,Female,Moderately Active,Eggetarian,Overweight
81.5,4.75,36,Female,Sedentary,Vegetarian,Obese
108,5.1,35,Male,Sedentary,Eggetarian,Obese
96,5.7,32,Female,Sedentary,Non Vegetarian,Obese
75.5,5.4,32,Female,Moderately Active,Vegetarian,Overweight
78,5.4,33,Female,Sedentary,Vegetarian,Overweight
87,5.6,45,Female,Lightly Active,Non Vegetarian,Overweight
98,5.6,33,Female,Very Active,Non Vegetarian,Obese
87.5,5.9,32,Female,Lightly Active,Non Vegetarian,Overweight
84.5,5.6,28,Female,Sedentary,Vegetarian,Overweight
76.3,5.1,26,Female,Sedentary,Vegetarian,Obese
77.6,5.7,28,Female,Sedentary,Vegetarian,Overweight
95,5.4,39,Female,Sedentary,Non Vegetarian,Obese
54,5.1,34,Female,Moderately Active,Vegetarian,Normal
118.5,5.5,43,Female,Sedentary,Non Vegetarian,Obese
60,5.6,33,Female,Moderately Active,Non Vegetarian,Normal
104.7,5.08,29,Female,Sedentary,Non Vegetarian,Obese
71,5.4,34,Female,Moderately Active,Non Vegetarian,Overweight
79.3,5.4,35,Female,Lightly Active,Non Vegetarian,Overweight
59,4.75,41,Female,Moderately Active,Eggetarian,Obese
79,5.3,31,Female,Lightly Active,Non Vegetarian,Obese
118.5,5.3,34,Female,Lightly Active,Non Vegetarian,Obese
89,5.2,30,Female,Sedentary,Non Vegetarian,Obese
83,5.9,33,Female,Lightly Active,Eggetarian,Overweight
72,5.2,29,Female,Sedentary,Vegetarian,Overweight
82,5.5,33,Female,Moderately Active,Non Vegetarian,Overweight
61,4.9,33,Female,Very Active,Non Vegetarian,Overweight
78,5.6,33,Female,Sedentary,Eggetarian,Overweight
81.5,5.8,33,Female,Sedentary,Vegetarian,Overweight
103,5.4,27,Female,Lightly Active,Non Vegetarian,Obese
103,5.4,27,Female,Lightly Active,Non Vegetarian,Obese
90.1,5.1,43,Female,Lightly Active,Non Vegetarian,Obese
76,5.4,34,Female,Sedentary,Vegetarian,Overweight
76,5.5,37,Female,Moderately Active,Eggetarian,Overweight
72,5.2,25,Female,Sedentary,Eggetarian,Overweight
89,5.4,36,Female,Moderately Active,Vegetarian,Obese
89,5.4,36,Female,Moderately Active,Vegetarian,Obese
95,4.75,33,Female,Sedentary,Non Vegetarian,Obese
70.5,5.4,31,Female,Lightly Active,Non Vegetarian,Overweight
85,5.4,35,Female,Sedentary,Non Vegetarian,Obese
82,5.5,35,Female,Sedentary,Vegetarian,Overweight
70,5.3,33,Female,Sedentary,Non Vegetarian,Overweight
94,5.4,30,Female,Sedentary,Non Vegetarian,Obese
63,5.1,37,Female,Sedentary,Non Vegetarian,Overweight
78,5.3,33,Female,Sedentary,Vegetarian,Overweight
74,5.4,43,Female,Moderately Active,Non Vegetarian,Overweight
102.9,5.6,40,Female,Sedentary,Vegetarian,Obese
70,5.95,30,Female,Lightly Active,Eggetarian,Underweight
80,5.2,28,Female,Lightly Active,Non Vegetarian,Obese
74.5,5.3,28,Female,Sedentary,Non Vegetarian,Overweight
80,5.3,29,Female,Lightly Active,Non Vegetarian,Obese
73,5.4,31,Female,Lightly Active,Eggetarian,Overweight
73,5.4,31,Female,Lightly Active,Eggetarian,Overweight
73,5.6,33,Female,Sedentary,Eggetarian,Overweight
75,5.1,37,Female,Moderately Active,Vegetarian,Obese
90,5.3,34,Female,Moderately Active,Non Vegetarian,Obese
62,5.2,38,Female,Very Active,Eggetarian,Normal
92,5.2,25,Female,Sedentary,Non Vegetarian,Obese
97,5.4,35,Female,Lightly Active,Non Vegetarian,Obese
59,5.5,28,Female,Very Active,Vegetarian,Normal
98,5,32,Female,Lightly Active,Vegetarian,Obese
76.2,5.3,37,Female,Lightly Active,Eggetarian ,Overweight
74.3,5.1,38,Female,Lightly Active,Non Vegetarian,Obese
74.3,5.1,38,Female,Lightly Active,Non Vegetarian,Obese
84,5.6,34,Female,Sedentary,Eggetarian,Overweight
78,5.3,28,Female,Lightly Active,Non Vegetarian,Overweight
118.5,5.95,35,Male,Moderately Active,Non Vegetarian,Obese
90,5.5,50.5,Female,Lightly Active,Non Vegetarian,Obese
70.6,5.2,30,Female,Sedentary,Eggetarian,Overweight
76,5,26,Female,Lightly Active,Non Vegetarian,Obese
88.5,5.1,37,Female,Sedentary,Eggetarian,Obese
107,5.7,35,Female,Lightly Active,Eggetarian,Obese
86,5.4,37,Female,Sedentary,Non Vegetarian,Obese
77.6,5.4,30,Female,Lightly Active,Non Vegetarian,Overweight
102,5.5,39,Female,Sedentary,Non Vegetarian,Obese
61,5.6,32,Female,Moderately Active,Non Vegetarian,Normal
98,5.3,24,Female,Lightly Active,Vegetarian,Obese
98,5.3,24,Female,Lightly Active,Vegetarian,Obese
97,5.5,35,Female,Lightly Active,Non Vegetarian,Obese
76,5.2,28,Female,Moderately Active,Vegetarian,Obese
89,5.5,35,Female,Lightly Active,Non Vegetarian,Obese
118.5,5.6,28,Female,Lightly Active,Non Vegetarian,Obese
115,5.3,38,Female,Moderately Active,Non Vegetarian,Obese
85,5.7,29,Female,Moderately Active,Non Vegetarian,Overweight
66,5.2,37,Female,Lightly Active,Non Vegetarian,Overweight
112.5,5.4,38,Female,Sedentary,Vegetarian,Obese
118.5,5.5,37,Female,Sedentary,Non Vegetarian,Obese
75.1,5.2,35,Female,Lightly Active,Non Vegetarian,Overweight
108,5.95,38,Male,Moderately Active,Eggetarian,Obese
111,5.7,39,Female,Sedentary,Non Vegetarian,Obese
